7zip 25.01-1.1
a52dec 0.8.0-2.1
aalib 1.4rc5-19.1
abseil-cpp 20250814.1-1.1
accountsservice 23.13.9-2.1
acl 2.3.2-1.1
ada 3.4.2-1.1
adw-gtk-theme 6.4-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.10-1.1
alsa-firmware 1.2.4-4
alsa-lib 1.2.15.3-2.1
alsa-plugins 1:1.2.12-5.1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-1.1
amd-ucode 1:20260110-1
ananicy-cpp 1.1.1-10.1
antigravity 1.15.8-1
aom 3.13.1-2.1
appstream 1.1.2-1.1
appstream-glib 0.8.3-3.2
archlinux-appstream-data 20260107-1
archlinux-keyring 20260131-2
aribb24 1.0.3-4.1
aribb25 0.2.7-3.1
ark 25.12.1-1.1
asciidoc 10.2.1-3
at-spi2-core 2.58.3-1.1
attr 2.5.2-1.1
audit 4.1.2-2.1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc3-1.1
awesome-terminal-fonts 1.1.0-5
aws-c-auth 0.9.5-1.1
aws-c-cal 0.9.13-1.1
aws-c-common 0.12.6-1.1
aws-c-compression 0.3.2-1.1
aws-c-event-stream 0.5.9-1.1
aws-c-http 0.10.9-1.1
aws-c-io 0.25.0-1.1
aws-c-mqtt 0.13.3-1.1
aws-c-s3 0.11.4-1.1
aws-c-sdkutils 0.2.4-1.1
aws-checksums 0.2.8-1.1
aws-crt-cpp 0.37.0-1.1
aws-sdk-cpp-core 1.11.725-1.1
aws-sdk-cpp-iam 1.11.725-1.1
aws-sdk-cpp-s3 1.11.725-1.1
ayatana-ido 0.10.4-1.1
base 3-2
base-devel 1-2
bash 5.3.9-2
bash-completion 2.17.0-3
bat 0.26.1-1.1
bazaar 0.7.6-1.1
bcc 0.35.0-7.1
bemenu 0.6.23-1.1
bemenu-wayland 0.6.23-1.1
bind 9.20.18-1.1
binutils 2.45.1+r35+g12d0a1dbc1b9-2
bison 3.8.2-8.1
blas 3.12.1-2.1
bluez 5.85-1.1
bluez-hid2hci 5.85-1.1
bluez-libs 5.85-1.1
bluez-utils 5.85-1.1
boost 1.89.0-4.1
boost-libs 1.89.0-4.1
botan 3.10.0-2.1
bpf 6.18-3
breeze-icons 6.22.0-1.1
brightnessctl 0.5.1-3
brotli 1.2.0-1.1
btop 1.4.6-1.1
btrfs-assistant 2.2-4.1
btrfs-progs 6.17.1-2
bubblewrap 0.11.0-1.1
bun-bin 1.3.5-1
bzip2 1.0.8-6.1
c-ares 1.34.6-1.1
ca-certificates 20240618-1
ca-certificates-mozilla 3.120-1.1
ca-certificates-utils 20240618-1
cabextract 1.11-2.1
cachyos-alacritty-config 1.0-1
cachyos-ananicy-rules 1:1.1.18-1
cachyos-fish-config 15-1
cachyos-gaming-applications 1.0.0-2
cachyos-gaming-meta 1:1.0.0-6
cachyos-hello 0.19.2-1
cachyos-hooks 2025.09.22-1
cachyos-kernel-manager 1.16.1-1.1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 22-1
cachyos-nord-gtk-theme-git r10.18b1535-1
cachyos-packageinstaller 1.5.1-2
cachyos-plymouth-bootanimation 2-1
cachyos-rate-mirrors 18-1
cachyos-settings 1:1.3.1-1
cachyos-snapper-support 1.0.2-1
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cairo 1.18.4-1.1
cairomm-1.16 1.18.0-2.1
cantarell-fonts 1:0.311-1
capitaine-cursors 4-3
cava 0.10.7-1.1
cblas 3.12.1-2.1
cbonsai-git 1.4.2.2.gfb14579-1
chaotic-keyring 20251028-1
chaotic-mirrorlist 20251111-1
chntpw 140201-5
chromaprint 1.6.0-2.1
chromium 144.0.7559.109-1.1
chwd 1.18.0-3
cifs-utils 7.4-1.2
clang 21.1.6-4
claude-code 2.1.29-1
cliphist 1:0.7.0-1.1
cloud-sql-proxy-bin 2.21.0-1
cmark 0.31.1-1.1
compiler-rt 21.1.6-1.1
composefs 1.0.8-1.1
confuse 3.3-4.1
containerd 2.2.1-1.1
convertlit 1.8-13.1
coreutils 9.9-1.1
cpupower 6.18-3
cracklib 2.10.3-1.1
cryptsetup 2.8.4-1.1
curl 8.18.0-3.1
curseforge 1.297.1_30761-1
cython 3.2.4-2.1
dash 0.5.12-1.1
dav1d 1.5.3-1.1
db5.3 5.3.28-5.1
dbus 1.16.2-1.1
dbus-broker 37-2.1
dbus-broker-units 37-2.1
dbus-glib 0.114-1.1
dbus-units 37-2.1
dconf 0.49.0-1.1
ddcutil 2.2.3-1.1
debugedit 5.2-1.1
default-cursors 3-1
desktop-file-utils 0.28-1.1
device-mapper 2.03.38-1.1
dgop 0.2.0-1.1
dhclient 4.4.3.P1-4.1
diffutils 3.12-2.1
ding-libs 0.6.2-2.1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.92-1.1
dnssec-anchors 20250524-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:29.2.0-1.1
docker-compose 5.0.2-1.1
dosfstools 4.2-5.1
dotslash 0.5.8-1.1
double-conversion 3.4.0-1.1
duf 0.9.1-1.1
duktape 2.7.0-7.1
dupeguru 4.3.1-3
e2fsprogs 1.47.3-2.1
ebook-tools 0.2.2-9.1
editline 1.17.1-4.1
efibootmgr 18-3.1
efitools 1.9.2-6.1
efivar 39-1.1
egl-gbm 1.1.3-1.1
egl-wayland 4:1.1.21-1.1
egl-wayland2 1.0.0.rc.r57.g1893c37-1.1
egl-x11 1.0.4-1.1
eglexternalplatform 1.2.1-1
electron 1:39-1
electron-builder 26.0.12-1
electron37 37.5.1-1
electron39 39.4.0-1.1
ell 0.81-1.1
enchant 2.8.14-1.1
ethtool 1:6.15-1.1
evtest 1.36-1.1
ex-vi-compat 1-3
exempi 2.6.6-2.1
exfatprogs 1.3.1-1.1
exiv2 0.28.7-1.2
exo 4.20.0-2.1
expac 10-12.2
expat 2.7.3-1.1
eza 0.23.4-1.1
f2fs-tools 1.16.0-3.1
faac 1.31.1-1.1
faad2 2.11.2-1.2
fakeroot 1.37.2-1.1
fastfetch 2.58.0-1.1
fd 10.3.0-1.1
feishin-git 1.4.1.r4.gce9183f-1
ffmpeg 2:8.0.1-2.1
ffmpeg4.4 4.4.6-3.1
ffmpegthumbnailer 2.3.0-1.1
fftw 3.3.10-7.1
figlet 2.2.5-6.1
file 5.46-5.1
filesystem 2025.10.12-1
findutils 4.10.0-3.1
firebase-tools-bin 15.2.0-1
fish 4.3.3-1.1
fish-autopair 1.0.4-2
fish-pure-prompt 4.15.0-1
fisher 4.4.8-1
flac 1.5.0-1.2
flatpak 1:1.16.3-1.1
flex 2.6.4-5.1
fluidsynth 2.5.2-1.1
fmt 12.1.0-1.1
fontconfig 2:2.17.1-1.1
freeglut 3.8.0-1.1
freerdp 2:3.22.0-1.1
freetype2 2.14.1-1.1
fribidi 1.0.16-2.1
fsarchiver 0.8.8-1.1
ftgl 2.4.0-3.1
fuse-common 3.18.1-1.1
fuse2 2.9.9-5
fuse3 3.18.1-1.1
fzf 0.67.0-2.1
game-devices-udev 0.25-1
gamemode 1.8.2-1.1
gamescope 3.16.19-4
gawk 5.3.2-1.1
gc 8.2.10-2.1
